Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","204","Benin","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","548340","A","Official figure",""
"QCL","Crops and livestock products","204","Benin","5318","Milk Animals","02292","Raw milk of goats","2015","2015","An","258288","I","Imputed value",""
"QCL","Crops and livestock products","064","Bhutan","5318","Milk Animals","02212","Raw milk of buffalo","2015","2015","An","","A","Official figure",""
"QCL","Crops and livestock products","064","Bhutan","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","53500","E","Estimated value",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","230000","E","Estimated value",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5318","Milk Animals","02292","Raw milk of goats","2015","2015","An","480000","E","Estimated value",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5318","Milk Animals","02291","Raw milk of sheep","2015","2015","An","1255000","E","Estimated value",""
"QCL","Crops and livestock products","070","Bosnia and Herzegovina","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","247562","A","Official figure",""
"QCL","Crops and livestock products","070","Bosnia and Herzegovina","5318","Milk Animals","02291","Raw milk of sheep","2015","2015","An","276357","A","Official figure",""
"QCL","Crops and livestock products","072","Botswana","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","5300","E","Estimated value",""
"QCL","Crops and livestock products","072","Botswana","5318","Milk Animals","02292","Raw milk of goats","2015","2015","An","95859","I","Imputed value",""
"QCL","Crops and livestock products","076","Brazil","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","21110916","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5318","Milk Animals","02292","Raw milk of goats","2015","2015","An","4615014","I","Imputed value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5318","Milk Animals","02212","Raw milk of buffalo","2015","2015","An","204","I","Imputed value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","123","I","Imputed value",""
"QCL","Crops and livestock products","100","Bulgaria","5318","Milk Animals","02212","Raw milk of buffalo","2015","2015","An","6339","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","295374","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5318","Milk Animals","02292","Raw milk of goats","2015","2015","An","227618","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5318","Milk Animals","02291","Raw milk of sheep","2015","2015","An","1029081","A","Official figure",""
